id_vivienda,estrato,municipio,id_hogar,numero_personas,numero_hombres,numero_mujeres,felicidad_bin,satisfaccion_bin,menores_18,mayores_62,adultos_18_62,alguien_no_lee>10,personas_educandose,personas_no_sanas,personas_trabajaron_ultimos_7_dias,alguien_afiliado_pensiones,frec_problemas_alimentacion,compara_situacion_año_pasado,empleo_proporciona_condiciones_economicas,ciudad_ofrece_oportunidades,control_decisiones,probabilidad_victima_delito,se_considera_pobre,ingreso_mensual_hogar_para_necesidades_SMMLV,felicidad_hogar,satisfaccion_hogar_forma_vida,rango_SMMLV_necesidades_mes,nivel_sisben,max_antigüedad_empleo_años,frec_problemas_vestir,frec_problemas_medicamentos,frec_problemas_vivienda,frec_problemas_asistencia_escolar,ha_sido_victima_robo,ingreso_mensual_hogar
2019_mal_21,1.0,malambo,21.0,3.0,1.0,2.0,1.0,0.0,1.0,0.0,2.0,no,1.0,0.0,1.0,si,a menudo,igual,si,si,control sobre algunas decisiones,algo probable,si,entre 1 y 2 salarios mínimos,muy feliz,insatisfecho,entre 2 y 5 salarios mínimos,2.0,5.0,a menudo,a veces,a veces,raramente,no,900000.0
2019_gal_22,1.0,galapa,22.0,3.0,1.0,2.0,1.0,0.0,1.0,0.0,2.0,si,1.0,0.0,2.0,si,a veces,peor,si,no,control sobre la mayoría de decisiones,algo probable,si,entre 1 y 2 salarios mínimos,muy feliz,insatisfecho,entre 1 y 2 salarios mínimos,1.0,10.0,a veces,a veces,a veces,a veces,no,1200000.0
2019_gal_23,2.0,galapa,23.0,3.0,1.0,2.0,1.0,0.0,2.0,0.0,1.0,no,1.0,0.0,0.0,no,raramente,peor,si,no,control sobre la mayoría de decisiones,algo probable,si,menos de 1 salario mínimo,muy feliz,insatisfecho,entre 1 y 2 salarios mínimos,2.0,0.0,nunca,raramente,raramente,raramente,no,800000.0
2019_gal_24,1.0,galapa,24.0,3.0,1.0,2.0,1.0,0.0,1.0,0.0,2.0,no,1.0,0.0,1.0,si,raramente,mejor,no,no,control sobre muy pocas decisiones,algo probable,si,entre 1 y 2 salarios mínimos,muy feliz,insatisfecho,entre 1 y 2 salarios mínimos,1.0,5.0,raramente,raramente,raramente,raramente,no,1100000.0
2019_gal_25,2.0,galapa,25.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,3.0,no,0.0,0.0,2.0,si,raramente,mejor,si,no,control sobre todas las decisiones,algo probable,si,entre 1 y 2 salarios mínimos,muy feliz,insatisfecho,entre 1 y 2 salarios mínimos,2.0,1.0,nunca,a veces,nunca,nunca,no,828116.0
2019_gal_26,2.0,galapa,26.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,3.0,no,1.0,0.0,0.0,no,a veces,peor,no,no,control sobre la mayoría de decisiones,algo probable,si,entre 1 y 2 salarios mínimos,muy feliz,insatisfecho,entre 2 y 5 salarios mínimos,2.0,0.0,a menudo,a menudo,raramente,a veces,no,1140000.0
2019_gal_27,1.0,galapa,27.0,3.0,1.0,2.0,1.0,0.0,1.0,0.0,2.0,no,1.0,0.0,1.0,no,a veces,peor,si,no,control sobre la mayoría de decisiones,algo probable,si,entre 1 y 2 salarios mínimos,muy feliz,insatisfecho,entre 1 y 2 salarios mínimos,2.0,7.0,nunca,a veces,raramente,a veces,no,828116.0
2019_gal_28,1.0,galapa,28.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,3.0,no,0.0,0.0,0.0,si,a veces,peor,no,no,control sobre la mayoría de decisiones,algo probable,si,menos de 1 salario mínimo,muy feliz,insatisfecho,entre 1 y 2 salarios mínimos,1.0,0.0,a menudo,siempre,nunca,raramente,no,360000.0
2019_gal_29,1.0,galapa,29.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,3.0,no,0.0,0.0,0.0,no,raramente,peor,no,no,control sobre la mayoría de decisiones,algo probable,si,entre 2 y 5 salarios mínimos,muy feliz,insatisfecho,entre 2 y 5 salarios mínimos,1.0,0.0,nunca,a veces,raramente,raramente,no,1700000.0
2019_pue_30,1.0,puerto colombia,30.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,3.0,no,0.0,0.0,0.0,no,raramente,igual,no,no,control sobre todas las decisiones,poco probable,si,entre 1 y 2 salarios mínimos,muy feliz,insatisfecho,entre 1 y 2 salarios mínimos,3.0,0.0,raramente,a veces,raramente,a veces,no,1000000.0
2019_mal_31,1.0,malambo,31.0,3.0,1.0,2.0,1.0,0.0,1.0,0.0,2.0,no,0.0,0.0,1.0,si,a veces,peor,no,no,control sobre la mayoría de decisiones,nada probable,si,entre 1 y 2 salarios mínimos,muy feliz,insatisfecho,entre 1 y 2 salarios mínimos,3.0,2.0,nunca,raramente,a veces,raramente,no,828116.0
2019_gal_32,2.0,galapa,32.0,3.0,1.0,2.0,1.0,1.0,2.0,0.0,1.0,no,2.0,0.0,1.0,no,a veces,igual,si,no,control sobre algunas decisiones,muy probable,si,menos de 1 salario mínimo,muy feliz,satisfecho,entre 1 y 2 salarios mínimos,1.0,5.0,a menudo,a veces,a veces,nunca,no,800000.0
